id,name_en,name_ar,status,parent_id,isleaf,created_at,updated_at,deleted_at,profile_id,reason,type,created_by
1,Food and Beverages,المواد الغذائية,approved,1678,1,2021-01-21 20:33:11,2022-05-25 22:54:20,NULL,NULL,NULL,products,NULL
2,Furniture and Storage,الأثاث والتخزين,approved,1678,1,NULL,2022-07-05 19:39:13,NULL,NULL,NULL,products,NULL
3,Medical center and pharmacy,المركز الطبي و الصيدلة,approved,523,1,NULL,2022-06-06 23:42:07,NULL,NULL,NULL,products,NULL
4,Clothing and Textiles,الملبوسات و المنسوجات,approved,1678,1,NULL,2022-05-25 19:52:45,NULL,NULL,NULL,products,NULL
5,Electronics and Smart Devices,الأجهزة الإلكترونية والذكية,approved,1678,1,NULL,2022-07-05 19:32:42,NULL,NULL,NULL,products,NULL
6,Hygienic Tools and Equipments,معدات وأدوات النظافة والتعقيم,approved,1678,1,NULL,2022-06-14 19:43:46,NULL,NULL,NULL,products,NULL
7,Kitchen Equipment and Consumables,معدات ومستهلكات المطبخ,approved,1678,1,NULL,2022-07-06 17:23:28,NULL,NULL,NULL,products,NULL
8,Building and Construction,البناء و التشييد,approved,1678,1,NULL,2022-08-02 23:05:32,NULL,NULL,NULL,products,NULL
9,Industry,الصناعة,approved,904,1,NULL,2022-06-12 23:25:58,NULL,NULL,NULL,products,NULL
10,Insurance,التأمين,approved,378,1,NULL,2022-06-12 23:24:53,NULL,NULL,NULL,products,NULL
22,Footwear,الأحذية,approved,4,1,2021-01-20 19:46:45,2022-05-25 20:16:48,NULL,NULL,NULL,products,NULL
23,Clothing and Fabrics,الملابس والأقمشة,approved,4,1,2021-01-20 20:09:13,2022-05-25 20:06:56,NULL,NULL,NULL,products,NULL
26,Hotel and medical,الفندقية والطبية,approved,275,1,2021-01-20 20:12:48,2022-05-25 20:11:16,NULL,NULL,NULL,products,NULL
29,Medical,الطبية,approved,22,1,2021-01-20 20:50:56,2022-05-25 20:22:39,NULL,NULL,NULL,products,NULL
30,Formal,الرسمية,approved,22,1,2021-01-20 20:52:34,2022-05-25 20:18:22,NULL,NULL,NULL,products,NULL
31,Athletic,الرياضية,approved,22,1,2021-01-20 20:53:44,2022-06-02 17:20:50,NULL,NULL,NULL,products,NULL
32,Industrial,الصناعية,approved,22,1,2021-01-20 20:54:33,2022-05-25 20:23:54,NULL,NULL,NULL,products,NULL
33,Fabrics,الأقمشة,approved,23,1,2021-01-20 20:55:25,2022-05-25 20:10:12,NULL,NULL,NULL,products,NULL
34,Other,أخرى,approved,279,1,2021-01-20 20:56:12,2022-05-25 17:26:03,NULL,NULL,NULL,products,NULL
35,Bathrobes,أرواب,approved,26,1,2021-01-20 20:57:12,2021-10-12 14:34:40,NULL,NULL,NULL,products,NULL
36,Carpets,سجاد,approved,26,1,2021-01-20 20:57:47,2021-01-20 20:57:47,NULL,NULL,NULL,products,NULL
37,Curtains,الستائر,approved,26,1,2021-01-20 20:59:11,2021-01-20 20:59:11,NULL,NULL,NULL,products,NULL
38,Mattresses,مفارش,approved,26,1,2021-01-20 20:59:54,2021-01-20 20:59:54,NULL,NULL,NULL,products,NULL
39,Towels,المناشف,approved,26,1,2021-01-20 21:01:08,2021-01-20 21:01:08,NULL,NULL,NULL,products,NULL
40,Other,أخرى,approved,40,0,2021-01-20 21:01:46,2022-05-25 17:33:40,NULL,NULL,NULL,products,NULL
41,Bakery and Pastry,المخبوزات والمعجنات,approved,1,1,2021-01-21 17:26:58,2022-05-25 22:56:03,NULL,NULL,NULL,products,NULL
42,Health insurance,التامين الصحي,approved,10,1,2021-01-21 17:28:37,2021-01-21 17:28:37,NULL,NULL,NULL,products,NULL
43,Property insurance,تأمين الممتلكات,approved,10,1,2021-01-21 17:29:32,2021-01-21 17:29:32,NULL,NULL,NULL,products,NULL
44,Baked Goods,المخبوزات,approved,41,1,2021-01-21 17:30:19,2022-05-25 23:00:41,NULL,NULL,NULL,products,NULL
45,Fresh,الخبز الطازج,approved,145,1,2021-01-21 17:31:29,2022-05-25 22:57:05,NULL,NULL,NULL,products,NULL
46,Packed,الخبز المغلف,approved,220,1,2021-01-21 17:31:57,2022-05-25 22:46:29,NULL,NULL,NULL,products,NULL
47,Other,أخرى,approved,944,1,2021-01-21 17:32:16,2022-05-25 17:52:44,NULL,NULL,NULL,products,NULL
48,Pastries,المعجنات,approved,41,1,2021-01-21 17:32:53,2021-02-01 20:49:55,NULL,NULL,NULL,products,NULL
49,Fresh Pastries,المعجنات الطازجة,approved,45,1,2021-01-21 17:33:16,2022-05-25 23:01:54,NULL,NULL,NULL,products,NULL
50,Packed Pastries,المعجنات المغلفة,approved,51,1,2021-01-21 17:33:36,2022-05-25 23:04:29,NULL,NULL,NULL,products,NULL
51,Croissant,الكروسان,approved,211,1,2021-01-21 17:34:00,2022-05-25 22:59:37,NULL,NULL,NULL,products,NULL
52,Securing shopkeepers,تأمين اصحاب المحلات,approved,10,1,2021-01-21 17:34:07,2021-01-21 17:34:07,NULL,NULL,NULL,products,NULL
53,Vehicle insurance,تأمين المركبات,approved,10,1,2021-01-21 17:34:35,2021-01-21 17:34:35,NULL,NULL,NULL,products,NULL
